Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
AC_Pressure_Learned;00006743;AC Control\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;Status indicating AC pressure sensor is in range.;None;1;0;$4468;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
AFM_Air_Flow;00018707;To be used only when no acronym is known for the item.\;eEinzel;eViewText;eBars;eFloatHiLo;0;0;0;0;0;0;1;1;10;;2;0;0;"Measured air flow used by filter monitor;kg/min or ft3/min depending on C_AFM_Use_Mass_Flow_Rate";None;1;0;$A7F4;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
AFM_Max_Differential_Pressure;000125ad;To be used only when no acronym is known for the item.\;eEinzel;eViewText;eBars;eFloatHiLo;0;0;0;0;0;0;1;1;10;;2;0;0;Maximum Differential pressure.;kPa;1;0;$A7F8;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
AFM_Restriction_Value;000125a3;To be used only when no acronym is known for the item.\;eEinzel;eViewText;eBars;eFloatHiLo;0;0;0;0;0;0;1;1;10;;2;0;0;Estimated air filter pressure drop at max air flow conditions;None;1;0;$A7FC;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
API_DCA_new;00011e8d;To be used only when no acronym is known for the item.\;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;used to indicate that the module has been down-loaded to, and that ETK reference page data may need to be refreshed.;None;1;0;$1952;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Access_Attempt_Counter;00012c46;CXPS_KWP2000  Chrysler Core2 component group.\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;Number of failed access attempts in KWP.;None;1;0;$3FEA;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Access_Max_Attempts;00012c47;CXPS_KWP2000  Chrysler Core2 component group.\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;Max number of access attempts before delay is used;None;1;0;$3FF4;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Access_Max_Delay_Time;00011cef;CXPS_KWP2000  Chrysler Core2 component group.\;eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;0;0;0;Delay between access attempts after attempts > max value.;s;1;0;$3FEE;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Address_Length;0000002b;Software and System General Parameters\;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;Number of bits on the address bus of the microcontroller;None;1;0;$270DA4;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Application_Executable_Code_Checksum;00004a65;Software and System General Parameters\;eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;0;0;0;Calculates a simple checksum of the code that lies between Start_App_Code_Checksum_Range and End_App_Code_Checksum_Range.  This value is stored in fixed memory so that bootloader can calculate it upon download completion and it can be used for diagnostic purposes in a functioning application.;HEX;1;0;$5D818;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
